rainfall_1d,rainfall_3d,rainfall_7d,humidity,soil_type,slope,crop_type,days_since_sowing,waterlogging_risk
7.967516379785197,32.28256017594732,59.841984746730915,48.57969861849114,2,2,4,104,0
4.541463019991705,20.93578413787634,37.361618255389686,79.70993247467536,1,1,1,68,0
6.647462008994136,13.507624374016588,42.38799598670131,52.802423723666735,1,2,2,112,0
3.3691496989850847,15.748464482544778,29.32861585354863,73.41496685457912,0,0,1,8,0
3.6970668369616293,13.730056335010762,44.8128631490392,53.256400631430644,2,0,2,82,0
10.659986313202289,24.9877539591408,67.01026243907219,63.383573097018456,1,1,3,58,0
2.595440159405137,6.993284926011032,16.24017670452093,68.6458843014203,1,0,4,86,0
10.275584365831254,35.570172341835345,86.6720289964466,49.08968164846514,0,2,0,92,0
1.386973001978621,3.3550177225236517,8.839765455427637,83.45965472921631,2,0,1,107,0
6.333878089214207,13.920257110743682,20.901793171353063,64.71978707760118,0,2,4,103,0
1.9407463265966713,3.9485096925155907,8.71307270686312,86.69026033463462,0,1,2,13,0
7.522074737714619,22.670443604894043,65.83425870285015,51.09455612844679,2,0,3,100,0
2.8511663574455026,10.92742678728813,21.179792729855706,91.85694638068895,2,2,2,90,0
9.03059022937198,31.281259902794122,56.9017494896426,45.80218429066488,1,1,2,96,0
7.797116108150552,38.95517347656414,69.67777210422682,59.391287098379294,2,2,2,13,0
5.500048086705409,19.585412783793313,33.94502830144431,53.42690372362758,2,1,0,56,0
7.072066222171321,20.253670224157492,50.544091037939985,56.548307039922335,0,0,2,117,0
3.832225752939809,18.256064306866808,39.30982410003272,58.978918641467565,0,2,1,57,0
13.070831955964778,30.504696714126062,53.62480526165345,53.07006491958198,2,1,4,102,0
4.838610769796654,21.307306185087622,41.428926951576145,85.94163725740809,2,1,4,7,0
16.85238650190425,62.894070596768024,124.58287085724132,75.48450347251975,0,0,1,108,0
7.834248743684622,33.473679325507625,76.69945850058964,90.85814900532095,1,1,2,11,0
11.893722012602701,43.637768603282126,85.25328972879548,45.120652229324456,0,0,2,13,0
16.08536702335988,35.43045317898677,61.07191695523154,87.09783605329508,1,0,3,79,0
25.202120199604575,51.213500667556616,75.75363486252654,55.615653610560614,1,1,1,58,0
22.957420614851667,90.82063763727538,130.1559934590635,40.99414499885365,1,0,3,12,0
5.961118631481013,19.209911246399635,56.92333105994304,54.5861302224949,1,1,4,55,0
19.375401596314333,44.19134143945305,79.9907782745999,67.64504012078557,2,0,4,65,0
33.472144537120435,67.16389442472651,211.57880297193557,65.84694826950187,1,0,2,109,0
6.431599981408599,17.58086801727816,40.66820046522681,71.4760858043961,0,2,4,89,0
3.5649091309325756,11.196061029393402,24.93139751953536,86.43172273994713,2,1,1,36,0
2.516177192207715,9.108363575814293,20.539372254266,56.24098236304163,1,0,0,13,0
4.904031188462642,11.069197814948392,17.746366478443605,87.68897752190571,0,1,0,40,0
23.930529920186437,58.283266124373235,104.07994242393328,83.76859681898556,2,2,3,102,0
8.330328674880219,22.96163297080401,47.222915446341965,55.75976886705564,1,1,0,56,0
2.996790539796343,8.298491646013536,19.69705532557039,57.96581829878225,0,0,3,10,0
10.006857836326617,23.949740571176815,43.15486595992138,93.67186437043941,1,1,2,21,0
4.803674891092122,11.350495475759836,23.976122925741056,53.79732900406637,1,0,0,16,0
1.9983812346391625,5.478499314252944,13.69292229993776,79.30277574850342,0,0,0,20,0
5.914635471580084,17.88509837780445,31.776267477122953,80.15216241090002,2,1,2,105,0
3.135319299812106,10.685286058946668,31.644842746795014,93.87307907418297,0,1,1,52,0
3.051739617330699,8.991515440729644,20.504150325237134,75.73755254535199,1,1,4,104,0
8.62545910563428,18.876281067533956,37.658077759481685,76.22814973904198,2,1,0,96,0
7.148057685202672,19.182091189868654,28.37200920878254,61.349345941358706,0,0,4,55,0
8.488719936104532,32.39903802751405,57.79413140637689,55.06786200266236,2,1,1,119,0
15.543743981872254,39.18095817877136,90.1495701776461,61.196814153106075,1,1,1,119,0
6.29527733158263,13.589619922809993,24.637750495868193,80.4289074092137,0,0,0,40,0
8.28234351009041,18.736196374921718,31.214201303889766,94.47778281003704,1,0,4,16,0
18.40477970863123,39.09539922741029,114.56542436432777,67.78888048463214,0,1,4,63,0
4.549022630337107,9.330133276385741,29.030192942408355,86.59287292525744,0,2,3,82,0
